0,27,none
1,12,none
2,21,none
3,6,1
4,15,1
5,27,none
6,23,5
7,8,3
8,19,6:7:3
9,29,8
10,20,9:7
11,13,6
12,18,none
13,30,none
14,17,1
15,6,14:13
16,11,6:5
17,25,2:14
18,23,5
19,14,9
20,30,none
21,25,20
22,20,14:1:7
23,23,8:13
24,15,12
25,18,none
26,23,none
27,12,1:16
28,15,0
29,6,none
30,23,none
31,5,20
32,25,3
33,28,25:9
34,10,none
35,14,27:16:5
36,17,13:15
37,22,1
38,8,16
39,18,none
40,24,36
41,13,19:4
42,6,none
43,17,17
44,13,2
45,10,none
46,30,13
47,22,none
48,23,2
49,7,none
50,18,35:11
51,12,7
52,25,none
53,27,none
54,14,26:0
55,5,7
56,30,29
57,24,27:46
58,5,30:2
59,12,44:7
60,6,8
61,7,57:52
62,29,56
63,14,62
64,20,3:56
65,17,none
66,11,36
67,27,45
68,6,none
69,12,7
70,18,18
71,25,8:21
72,25,19
73,11,1:17
74,13,none
75,25,15:1
76,10,53
77,17,31:6
78,18,2:31
79,15,32
80,19,22
81,27,27:78
82,7,70
83,27,45
84,29,4:73
85,9,48
86,18,0
87,11,69:70
88,27,12
89,11,67:85:82
90,12,89:21
91,5,90
92,17,45
93,23,79:88:58
94,10,80:34
95,14,90
96,18,14:90:22
97,29,64
98,14,none
99,15,none
